time,open,high,low,close,tick_volume,spread,real_volume
2020-07-20,1809.133,1820.512,1805.859,1818.085,69963,0,0
2020-07-21,1818.077,1847.272,1815.793,1843.145,84955,0,0
2020-07-22,1843.144,1874.567,1842.627,1870.039,113587,0,0
2020-07-23,1870.036,1898.354,1863.756,1885.592,110676,0,0
2020-07-24,1885.593,1906.564,1881.542,1901.307,88695,0,0
2020-07-26,1902.876,1914.758,1902.876,1913.69,7362,0,0
2020-07-27,1913.692,1966.65,1912.525,1965.177,119001,0,0
2020-07-28,1965.103,1980.881,1907.038,1956.236,145500,0,0
2020-07-29,1956.255,1980.789,1941.621,1966.647,113513,0,0
2020-07-30,1966.651,1970.562,1939.498,1957.074,117995,0,0
2020-07-31,1957.09,1982.761,1956.093,1975.122,115036,0,0
2020-08-02,1983.367,1984.938,1977.323,1981.968,7712,0,0
2020-08-03,1981.928,1982.363,1960.648,1975.429,90370,0,0
2020-08-04,1975.371,2030.942,1967.811,2030.942,102253,0,0
2020-08-05,2030.87,2055.57,2009.621,2036.52,128767,0,0
2020-08-06,2036.535,2074.207,2034.671,2069.237,125212,0,0
2020-08-07,2069.297,2072.336,2015.65,2035.003,154039,0,0
2020-08-09,2026.856,2030.963,2019.17,2027.26,7596,0,0
2020-08-10,2027.258,2049.937,2019.45,2028.268,121695,0,0
2020-08-11,2028.269,2028.269,1901.607,1909.21,213366,0,0
2020-08-12,1909.182,1949.311,1864.143,1922.014,214593,0,0
2020-08-13,1921.984,1966.332,1920.113,1957.517,157711,0,0
2020-08-14,1957.489,1961.542,1932.375,1944.516,134548,0,0
2020-08-16,1945.02,1951.373,1932.207,1932.719,6380,0,0
2020-08-17,1932.718,1990.734,1929.77,1983.819,125578,0,0
2020-08-18,1983.832,2015.551,1976.143,2005.326,142119,0,0
2020-08-19,2005.295,2006.009,1924.812,1927.888,171357,0,0
2020-08-20,1927.857,1955.263,1924.649,1952.892,160489,0,0
2020-08-21,1952.929,1955.928,1911.679,1940.253,141668,0,0
2020-08-23,1936.641,1938.418,1930.173,1935.204,5616,0,0
2020-08-24,1935.191,1961.852,1923.881,1929.934,117505,0,0
2020-08-25,1929.884,1937.511,1914.396,1929.736,115491,0,0
2020-08-26,1929.704,1954.82,1902.817,1953.6,121364,0,0
2020-08-27,1953.599,1976.579,1910.112,1928.193,148080,0,0
2020-08-28,1928.106,1973.882,1923.191,1964.776,110883,0,0
2020-08-30,1969.1,1976.058,1969.005,1973.258,6167,0,0
2020-08-31,1973.196,1976.419,1954.447,1967.889,106531,0,0
2020-09-01,1967.918,1992.437,1963.027,1972.605,134554,0,0
2020-09-02,1972.636,1973.311,1932.739,1944.82,143036,0,0
2020-09-03,1944.833,1950.911,1922.039,1927.987,146556,0,0
2020-09-04,1927.945,1948.613,1916.329,1933.703,142739,0,0
2020-09-06,1932.696,1937.746,1932.691,1934.488,4396,0,0
2020-09-07,1934.488,1941.303,1924.563,1930.718,69259,0,0
2020-09-08,1930.717,1940.861,1906.589,1930.372,136518,0,0
2020-09-09,1930.337,1950.881,1920.064,1947.449,106031,0,0
2020-09-10,1947.508,1966.626,1941.396,1943.979,96224,0,0
2020-09-11,1943.907,1954.838,1937.224,1940.078,75647,0,0
2020-09-13,1937.545,1943.16,1937.463,1942.887,3431,0,0
2020-09-14,1942.889,1962.527,1939.97,1957.336,68008,0,0
2020-09-15,1957.327,1972.242,1948.449,1953.991,75823,0,0
2020-09-16,1953.897,1973.587,1949.965,1959.827,89340,0,0
2020-09-17,1959.89,1960.004,1933.016,1947.221,89248,0,0
2020-09-18,1947.222,1960.053,1945.079,1950.198,70590,0,0
2020-09-20,1949.825,1951.014,1946.754,1948.538,3903,0,0
2020-09-21,1948.488,1955.552,1882.538,1917.244,108900,0,0
2020-09-22,1917.255,1919.717,1894.713,1904.363,105963,0,0
2020-09-23,1904.351,1905.281,1853.567,1854.956,120430,0,0
2020-09-24,1854.873,1877.117,1848.492,1867.804,116602,0,0
2020-09-25,1867.729,1875.135,1852.33,1861.295,91292,0,0
2020-09-27,1863.084,1866.05,1861.226,1862.526,3732,0,0
2020-09-28,1862.561,1883.657,1848.642,1882.734,89381,0,0
2020-09-29,1882.686,1899.403,1875.518,1896.915,81914,0,0
2020-09-30,1896.9,1902.309,1881.472,1887.774,100713,0,0
2020-10-01,1887.76,1912.249,1884.758,1903.3,96229,0,0
2020-10-02,1903.298,1917.122,1889.884,1898.863,96661,0,0
2020-10-04,1903.485,1904.43,1898.185,1903.042,4555,0,0
2020-10-05,1903.034,1918.762,1887.073,1912.826,76544,0,0
2020-10-06,1912.827,1921.172,1874.901,1880.161,96818,0,0
2020-10-07,1880.207,1898.039,1872.88,1887.089,89217,0,0
2020-10-08,1887.088,1900.667,1881.978,1895.321,81110,0,0
2020-10-09,1895.316,1930.584,1895.012,1930.288,73144,0,0
2020-10-11,1926.786,1933.318,1926.757,1929.227,5329,0,0
2020-10-12,1929.249,1932.039,1918.354,1925.201,79836,0,0
2020-10-13,1925.199,1925.199,1886.539,1893.476,95254,0,0
2020-10-14,1893.476,1912.926,1882.541,1898.318,84041,0,0
2020-10-15,1898.32,1909.111,1889.578,1906.474,93756,0,0
2020-10-16,1906.447,1914.018,1897.887,1898.959,78210,0,0
2020-10-18,1900.005,1903.068,1898.782,1900.86,3917,0,0
2020-10-19,1900.869,1918.53,1897.133,1903.089,79146,0,0
2020-10-20,1903.091,1914.165,1894.733,1910.822,81483,0,0
2020-10-21,1910.817,1931.471,1910.19,1921.432,85134,0,0
2020-10-22,1921.432,1922.29,1894.118,1905.127,80467,0,0
2020-10-23,1905.129,1914.293,1894.472,1901.783,69992,0,0
2020-10-25,1901.653,1902.161,1891.417,1898.589,5756,0,0
2020-10-26,1898.593,1908.618,1894.979,1902.296,79331,0,0
2020-10-27,1902.242,1911.411,1897.919,1905.327,69094,0,0
2020-10-28,1905.328,1910.909,1869.402,1879.646,92748,0,0
2020-10-29,1879.682,1885.011,1859.955,1868.526,94006,0,0
2020-10-30,1868.499,1889.823,1864.496,1878.996,87322,0,0
2020-11-01,1879.449,1879.449,1875.363,1877.206,2336,0,0
2020-11-02,1877.203,1896.259,1873.511,1894.803,70547,0,0
2020-11-03,1894.805,1916.351,1887.045,1914.493,72890,0,0
2020-11-04,1914.446,1916.451,1881.747,1904.931,138700,0,0
2020-11-05,1904.93,1952.791,1902.545,1946.263,94138,0,0
2020-11-06,1946.309,1960.377,1935.714,1951.995,94889,0,0
2020-11-08,1957.257,1959.881,1955.362,1958.636,2843,0,0
2020-11-09,1958.589,1965.559,1850.563,1870.977,152816,0,0
2020-11-10,1871.023,1890.455,1867.491,1876.797,100036,0,0
2020-11-11,1876.76,1884.473,1856.413,1865.655,80880,0,0
2020-11-12,1865.699,1883.874,1862.787,1875.88,77091,0,0
2020-11-13,1875.872,1896.868,1874.077,1889.497,66966,0,0
2020-11-15,1888.06,1891.675,1887.918,1890.497,2052,0,0
2020-11-16,1890.553,1899.14,1865.274,1889.897,84370,0,0
2020-11-17,1889.851,1893.518,1877.041,1882.717,70090,0,0
2020-11-18,1882.666,1884.859,1863.798,1871.472,79165,0,0
2020-11-19,1871.421,1872.882,1852.737,1863.241,84540,0,0
2020-11-20,1863.296,1879.837,1860.998,1871.063,73613,0,0
2020-11-22,1870.918,1872.226,1870.268,1872.189,1235,0,0
2020-11-23,1872.19,1876.128,1830.95,1835.707,82238,0,0
2020-11-24,1835.754,1836.374,1800.313,1809.25,99375,0,0
2020-11-25,1809.196,1817.765,1801.734,1808.271,80180,0,0
2020-11-26,1808.315,1818.35,1805.854,1809.316,50296,0,0
2020-11-27,1809.32,1813.838,1774.388,1787.001,70694,0,0
2020-11-29,1789.624,1789.932,1785.486,1786.791,1500,0,0
2020-11-30,1786.746,1787.536,1764.425,1778.847,93627,0,0
2020-12-01,1778.869,1817.345,1776.88,1811.357,82166,0,0
2020-12-02,1811.31,1832.484,1807.555,1830.738,81683,0,0
2020-12-03,1830.737,1843.986,1823.826,1839.905,81355,0,0
2020-12-04,1839.911,1848.192,1829.154,1839.15,76805,0,0
2020-12-06,1836.748,1838.125,1833.094,1835.416,2218,0,0
2020-12-07,1835.422,1868.606,1822.799,1864.059,80144,0,0
2020-12-08,1864.013,1875.347,1860.332,1870.193,77942,0,0
2020-12-09,1870.206,1870.567,1825.566,1834.467,94505,0,0
2020-12-10,1834.438,1850.089,1828.737,1836.778,88673,0,0
2020-12-11,1836.779,1847.754,1824.028,1839.69,76553,0,0
2020-12-13,1837.251,1838.133,1835.981,1838.032,1750,0,0
2020-12-14,1838.033,1839.096,1818.722,1827.513,74185,0,0
2020-12-15,1827.465,1855.39,1825.558,1852.436,77372,0,0
2020-12-16,1852.438,1865.771,1844.848,1864.582,92239,0,0
2020-12-17,1864.584,1896.291,1862.088,1883.747,89074,0,0
2020-12-18,1883.746,1889.72,1877.481,1881.411,81325,0,0
2020-12-20,1882.963,1885.075,1882.585,1883.175,1973,0,0
2020-12-21,1883.175,1906.807,1855.224,1879.158,130886,0,0
2020-12-22,1879.112,1884.335,1859.022,1864.351,95123,0,0
2020-12-23,1864.402,1878.633,1857.033,1872.657,88135,0,0
2020-12-24,1872.658,1880.647,1869.568,1879.156,57935,0,0
2020-12-27,1889.078,1889.91,1885.858,1888.388,2557,0,0
2020-12-28,1888.434,1900.267,1869.215,1876.836,93465,0,0
2020-12-29,1876.822,1886.453,1871.83,1878.83,77445,0,0
2020-12-30,1878.829,1895.469,1876.211,1895.087,73762,0,0
2020-12-31,1895.069,1900.43,1885.529,1894.527,63821,0,0
2021-01-03,1909.448,1915.036,1907.869,1913.233,3739,0,0
2021-01-04,1913.188,1945.703,1910.082,1941.826,99095,0,0
2021-01-05,1941.826,1953.28,1934.407,1950.368,94602,0,0
2021-01-06,1950.419,1959.43,1900.932,1924.13,129168,0,0
2021-01-07,1924.083,1927.737,1906.936,1916.688,101658,0,0
2021-01-08,1916.639,1916.745,1828.296,1849.51,140688,0,0
2021-01-10,1855.178,1855.677,1841.693,1844.85,4894,0,0
2021-01-11,1844.82,1855.612,1817.075,1847.373,126562,0,0
2021-01-12,1847.326,1863.866,1836.717,1858.883,103146,0,0
2021-01-13,1858.836,1863.075,1841.999,1848.458,86983,0,0
2021-01-14,1848.455,1857.595,1830.392,1846.976,97980,0,0
2021-01-15,1846.923,1857.075,1823.424,1827.115,90250,0,0
2021-01-17,1828.087,1829.372,1802.703,1810.866,6825,0,0
2021-01-18,1810.914,1840.837,1810.569,1837.353,71254,0,0
2021-01-19,1837.356,1845.566,1833.138,1841.051,74223,0,0
2021-01-20,1841.053,1872.453,1832.481,1870.002,91022,0,0
2021-01-21,1870.05,1875.135,1858.419,1869.691,84456,0,0
2021-01-22,1869.717,1869.99,1837.438,1855.872,92196,0,0
2021-01-24,1858.346,1859.545,1856.711,1856.991,2053,0,0
2021-01-25,1857.011,1867.965,1847.204,1855.53,89689,0,0
