open,high,low,close,tick_volume,spread,real_volume
2896.79,2901.04,2896.23,2901.0,1103,5,0
2900.95,2901.36,2899.19,2899.76,1050,5,0
2899.63,2903.06,2899.33,2901.4,1061,5,0
2901.58,2903.28,2901.54,2903.0,943,8,0
2903.06,2906.26,2902.57,2905.47,1167,5,0
2905.48,2905.95,2901.45,2902.17,1184,5,0
2901.92,2902.34,2898.17,2901.42,1101,5,0
2901.68,2902.66,2900.26,2902.44,1019,5,0
2902.41,2904.85,2900.84,2901.11,1035,5,0
2901.11,2901.2,2898.31,2900.0,1099,6,0
2900.06,2905.24,2899.56,2904.15,1060,5,0
2904.11,2905.69,2903.2,2904.61,794,5,0
2904.54,2906.8,2904.37,2906.36,1197,5,0
2906.46,2907.0,2903.97,2904.35,1081,6,0
2904.34,2906.18,2902.78,2903.76,1106,5,0
2903.67,2906.73,2902.73,2902.88,986,9,0
2902.65,2905.71,2901.26,2905.04,1397,5,0
2905.01,2910.83,2902.34,2903.53,1531,5,0
2903.51,2904.33,2899.79,2900.22,1491,5,0
2900.11,2904.3,2899.81,2901.04,1377,5,0
2900.96,2901.63,2896.36,2900.71,1413,5,0
2900.68,2905.16,2899.83,2904.26,1213,5,0
2904.32,2906.81,2901.78,2905.82,1518,5,0
2905.62,2909.25,2904.94,2908.71,1458,5,0
2908.72,2910.12,2904.53,2909.94,1429,5,0
2909.96,2911.3,2907.8,2908.2,1267,5,0
2908.32,2911.77,2906.03,2907.99,1383,5,0
2908.04,2909.35,2905.13,2908.97,1284,5,0
2909.15,2910.35,2907.19,2908.29,1122,5,0
2908.17,2908.36,2904.58,2905.89,1254,8,0
2905.72,2906.74,2902.84,2903.42,1098,5,0
2903.41,2903.71,2899.01,2900.99,1144,5,0
2901.0,2902.92,2899.77,2901.22,905,5,0
2901.16,2901.33,2898.08,2899.28,1033,5,0
2899.18,2902.09,2896.59,2901.6,1153,5,0
2901.62,2904.55,2900.08,2903.25,1186,5,0
2903.18,2904.44,2900.92,2903.86,970,5,0
2903.85,2906.93,2903.85,2906.05,1212,5,0
2906.13,2907.01,2904.79,2905.87,918,5,0
2905.83,2906.01,2904.51,2905.07,927,5,0
2905.08,2906.68,2904.72,2904.96,826,5,0
2904.97,2905.93,2903.65,2904.12,763,9,0
2904.25,2905.03,2902.51,2904.88,1090,5,0
2904.89,2905.37,2903.29,2904.37,997,5,0
2904.33,2904.78,2903.37,2904.52,976,8,0
2904.57,2905.5,2903.04,2903.32,1017,7,0
2903.25,2904.33,2902.92,2903.74,1021,5,0
2903.75,2907.75,2903.75,2907.49,1247,5,0
2907.31,2907.35,2906.1,2906.46,351,15,0
2906.37,2906.69,2905.33,2905.93,384,9,0
2905.95,2908.3,2905.77,2907.9,316,21,0
2907.91,2908.08,2907.06,2907.88,318,21,0
