open,high,low,close,tick_volume,spread,real_volume
2650.068,2651.224,2649.673,2649.884,849,112,0
2649.962,2650.861,2648.927,2649.323,715,112,0
2649.289,2650.102,2649.15,2649.625,701,112,0
2649.59,2650.084,2649.3,2649.921,704,112,0
2649.876,2649.945,2648.733,2649.411,646,112,0
2649.398,2650.91,2649.3,2650.65,622,112,0
2650.641,2651.662,2650.5,2650.591,652,112,0
2650.602,2651.177,2650.266,2650.421,699,112,0
2650.428,2650.498,2648.619,2648.98,999,112,0
2648.959,2649.718,2648.178,2648.555,868,112,0
2648.608,2649.793,2648.227,2649.337,959,112,0
2649.297,2649.663,2647.709,2648.406,1052,112,0
2648.44,2650.741,2647.382,2650.147,1993,112,0
2650.131,2650.623,2648.576,2649.725,1537,112,0
2649.766,2650.727,2646.834,2647.795,1937,112,0
2647.798,2647.798,2646.191,2647.098,1979,112,0
2647.137,2647.534,2645.283,2647.324,1848,112,0
2647.261,2647.505,2645.4,2645.98,1175,111,0
2645.99,2649.728,2645.526,2648.842,1676,112,0
2648.802,2649.364,2646.538,2646.553,1579,112,0
2646.546,2648.396,2644.599,2647.885,1768,111,0
2647.912,2648.295,2647.036,2647.885,1424,112,0
2647.941,2648.065,2646.619,2647.543,884,111,0
2647.542,2649.358,2647.25,2648.906,922,112,0
2648.89,2649.677,2648.336,2648.954,825,112,0
2649.016,2649.141,2647.259,2647.877,817,111,0
2647.877,2648.614,2645.775,2646.715,1028,112,0
2646.714,2647.559,2646.109,2646.34,1047,111,0
2646.308,2647.835,2645.524,2647.015,1159,112,0
2647.006,2649.461,2646.953,2648.732,1237,112,0
2648.727,2654.5,2648.511,2652.668,2760,111,0
2652.694,2655.542,2652.587,2653.228,2021,111,0
2653.183,2654.19,2650.506,2650.915,1845,111,0
2650.889,2651.498,2649.35,2650.635,1819,111,0
2650.663,2651.193,2647.695,2648.115,2419,112,0
2648.101,2648.675,2646.59,2646.986,1692,111,0
2646.95,2648.073,2645.349,2647.725,1574,112,0
2647.778,2650.397,2647.411,2647.642,1754,111,0
2647.675,2650.928,2647.064,2648.562,2078,112,0
2648.558,2649.109,2647.475,2648.599,1275,112,0
2648.646,2650.196,2646.336,2646.481,1887,111,0
2646.443,2647.067,2643.809,2644.857,1753,111,0
2644.823,2646.78,2644.313,2646.163,1590,112,0
